brand_model,year,price,transmission,mileage,fuelType,tax,milesPerGallon,engineSize
Ford_EcoSport,2018,12998,Manual,17241,Petrol,145,54.3,1.0
Ford_Tourneo Connect,2015,10298,Manual,28309,Diesel,125,58.9,1.6
Ford_Fiesta,2017,10498,Manual,50599,Petrol,0,65.7,1.0
Ford_Focus,2018,11298,Semi-Auto,37880,Diesel,150,74.3,1.5
Ford_Kuga,2016,10698,Manual,56888,Diesel,125,60.1,2.0
Ford_Focus,2018,15995,Manual,10500,Petrol,145,60.1,1.0
Ford_B-MAX,2014,6995,Semi-Auto,50800,Petrol,160,44.1,1.6
Ford_Fiesta,2019,13950,Manual,6700,Petrol,145,58.9,1.0
Ford_Fiesta,2017,10650,Manual,31800,Petrol,150,65.7,1.0
Ford_Fiesta,2016,7995,Manual,20700,Petrol,125,54.3,1.2
Ford_Focus,2016,11495,Manual,29900,Diesel,0,74.3,1.5
Ford_Kuga,2018,16995,Manual,32858,Diesel,145,54.3,2.0
Ford_Fiesta,2018,11995,Manual,31593,Petrol,145,65.7,1.0
Ford_Focus,2015,10995,Manual,13791,Petrol,125,51.4,1.5
Ford_Kuga,2019,20495,Manual,12034,Diesel,145,47.9,2.0
Ford_Focus,2018,19995,Manual,10923,Diesel,145,67.3,2.0
Ford_Kuga,2019,19995,Manual,10171,Diesel,145,38.2,2.0
Ford_Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5
Ford_EcoSport,2019,18995,Manual,2291,Petrol,145,52.3,1.0
Ford_Focus,2017,11995,Manual,23469,Petrol,125,51.4,1.5
Ford_Kuga,2017,16998,Manual,13626,Diesel,125,60.1,2.0
Ford_Fiesta,2016,7398,Manual,35180,Petrol,125,54.3,1.2
Ford_Fiesta,2019,11498,Manual,17708,Petrol,145,58.9,1.0
Ford_Fiesta,2019,13998,Manual,9957,Petrol,145,58.9,1.0
Ford_Focus,2019,16698,Manual,4542,Petrol,145,60.1,1.0
Ford_Mondeo,2016,9998,Manual,38358,Diesel,0,78.5,1.5
Ford_Focus,2015,12998,Manual,25878,Diesel,20,67.3,2.0
Ford_EcoSport,2016,9998,Semi-Auto,18325,Petrol,160,44.8,1.5
Ford_Focus,2017,12498,Manual,9338,Petrol,145,60.1,1.0
Ford_EcoSport,2018,14998,Manual,7133,Diesel,145,58.9,1.5
Ford_Focus,2017,10498,Manual,42002,Petrol,20,60.1,1.0
Ford_Kuga,2017,16995,Automatic,3700,Petrol,145,38.2,1.5
Ford_Focus,2019,15495,Manual,5600,Petrol,145,60.1,1.0
Ford_Fiesta,2015,9495,Manual,17288,Petrol,0,65.7,1.0
Ford_B-MAX,2013,5995,Manual,42996,Diesel,20,70.6,1.6
Ford_Focus,2014,7498,Manual,47566,Petrol,30,56.5,1.0
Ford_Fiesta,2017,11798,Manual,4262,Petrol,0,65.7,1.0
Ford_Fiesta,2017,10998,Manual,10125,Petrol,145,65.7,1.0
Ford_Focus,2017,14998,Automatic,17028,Petrol,150,46.3,1.5
Ford_Fiesta,2017,8998,Manual,12753,Petrol,145,54.3,1.2
Ford_Focus,2016,13998,Manual,24895,Diesel,20,67.3,2.0
Ford_Focus,2017,17998,Manual,9066,Petrol,145,41.5,2.0
Ford_Fiesta,2019,18998,Manual,3292,Petrol,145,40.3,1.5
Ford_Kuga,2013,9198,Semi-Auto,48130,Diesel,200,45.6,2.0
Ford_Kuga,2015,14498,Manual,27513,Diesel,145,54.3,2.0
Ford_Focus,2017,14998,Manual,32511,Petrol,150,41.5,2.0
Ford_Fiesta,2016,8498,Manual,21888,Petrol,125,54.3,1.2
Ford_Fiesta,2019,13995,Manual,11130,Petrol,145,58.9,1.0
Ford_Focus,2017,18498,Manual,14441,Petrol,145,41.5,2.0
Ford_Focus,2018,13998,Manual,13401,Petrol,145,60.1,1.0
Ford_Fiesta,2019,12798,Manual,10567,Petrol,145,58.9,1.0
Ford_Fiesta,2019,14698,Manual,7872,Petrol,145,58.9,1.0
Ford_Ka+,2017,7698,Manual,10641,Petrol,30,57.7,1.2
